id,title,subtitle,authors,language,genre,published_date,page_count
784,I is for Innocent,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Thriller"",""Audiobook"",""Suspense"",""Adult"",""Mystery"",""Murder Mystery""]",1993,286.0
785,R is for Ricochet,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Audiobook"",""Suspense"",""Thriller"",""Adult"",""Literature"",""American""]",2005,413.0
786,U Is For Undertow,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Mystery Thriller"",""Thriller"",""Audiobook"",""Suspense"",""Adult"",""Mystery"",""Murder Mystery""]",2010-08-01,320.0
787,O is for Outlaw,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Suspense"",""Thriller"",""Mystery"",""Murder Mystery"",""Womens""]",2000,400.0
788,P is for Peril,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Suspense"",""Thriller"",""Mystery"",""Murder Mystery"",""Adult""]",2001,514.0
789,From Here to Maternity,,"[""Mel Giedroyc""]",en,"[""Nonfiction"",""Parenting"",""Biography"",""Autobiography"",""Humor"",""Humor"",""Comedy""]",2005,266.0
790,The Hunters,,"[""W. E. B. Griffin""]",en,"[""Fiction"",""War"",""Military Fiction"",""Thriller"",""Spy Thriller"",""Espionage"",""War"",""Suspense"",""Adventure"",""Action"",""Audiobook"",""Mystery""]",2006,815.0
791,W Is for Wasted,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Mystery"",""Detective"",""Suspense"",""Thriller"",""Adult"",""Adult Fiction""]",2014-08-05,436.0
793,Facing the Light,,"[""Adèle Geras""]",en,"[""Fiction"",""Roman""]",2004-03-04,503.0
794,Wonderboy,,"[""Fiona Gibson""]",en,"[""Womens Fiction"",""Chick Lit"",""Fiction"",""European Literature"",""British Literature"",""Romance""]",2005-07-18,324.0
796,Black Star,,"[""Robert Gandt""]",en,"[""War"",""Military Fiction"",""Fiction""]",2003,368.0
797,Girl Friday,,"[""Jane Green""]",en,"[""Womens Fiction"",""Chick Lit"",""Fiction"",""Romance"",""Audiobook"",""Womens Fiction"",""Contemporary"",""Adult Fiction"",""Womens"",""Novels"",""Environment"",""Green""]",2010,416.0
798,Full House,,"[""Janet Evanovich"",""Charlotte Hughes""]",en,"[""Romance"",""Mystery"",""Womens Fiction"",""Chick Lit"",""Fiction"",""Humor"",""Contemporary"",""Romance"",""Contemporary Romance"",""Humor"",""Comedy"",""Audiobook"",""Adult""]",2002-09-16,345.0
