id,thumbnail
284,http://books.google.com/books/content?id=QyB7KQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
285,http://books.google.com/books/content?id=5lgzPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
287,http://books.google.com/books/content?id=ewRPPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
288,http://books.google.com/books/content?id=4N54mikWvMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
289,http://books.google.com/books/content?id=S-zgAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
291,http://books.google.com/books/content?id=o5WfivahG_0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
292,http://books.google.com/books/content?id=AlQNwpVUmL0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
293,http://books.google.com/books/content?id=qHC9KKCPgngC&printsec=frontcover&img=1&zoom=1&source=gbs_api
294,http://books.google.com/books/content?id=jsrfew4HWLwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
295,http://books.google.com/books/content?id=7Wra90UfFfIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
296,http://books.google.com/books/content?id=qbvwLS7GnnMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
299,http://books.google.com/books/content?id=mcmoGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
300,http://books.google.com/books/content?id=unB1GQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
301,http://books.google.com/books/content?id=dI1hQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
302,http://books.google.com/books/content?id=7NOCY9YX8SQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
304,http://books.google.com/books/content?id=D2fJmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
305,http://books.google.com/books/content?id=w2hGn_sUP8QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
307,http://books.google.com/books/content?id=Xbh-fxt7ZIwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
308,http://books.google.com/books/content?id=EVr8YSnxGsoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
309,http://books.google.com/books/content?id=Y3WJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
310,http://books.google.com/books/content?id=AyKPW0yNn50C&printsec=frontcover&img=1&zoom=1&source=gbs_api
311,http://books.google.com/books/content?id=j9EcAgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
312,http://books.google.com/books/content?id=zNcSHOIYfPoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
314,http://books.google.com/books/content?id=VANbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
315,http://books.google.com/books/content?id=l5zmGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
316,http://books.google.com/books/content?id=PLv8wpUyacMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
317,http://books.google.com/books/content?id=xwXfdTQkUNoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
318,http://books.google.com/books/content?id=xd744klUk8cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
319,http://books.google.com/books/content?id=_nWpAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
320,http://books.google.com/books/content?id=MaSgnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
